confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
BAJA,3982838460,Metro El Llano,san-miguel,departamento,venta,4500.0,183801555,60,70,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3982838460-metro-el-llano-_JM
BAJA,4182757116,Fabuloso Departamento (71621),san-miguel,departamento,venta,7000.0,285913530,113,116,4,3,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4182757116-fabuloso-departamento-71621-_JM
BAJA,4170334016,Negocio Atractivo (69867),san-miguel,departamento,venta,2500.0,102111975,43,48,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4170334016-negocio-atractivo-69867-_JM
BAJA,2039845635,(168249),san-miguel,departamento,venta,1990.0,81281132,45,45,3,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2039845635-168249-_JM
BAJA,4155629160,Estilo Y Funcionabilidad (100514),san-miguel,departamento,venta,3000.0,122534370,48,50,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4155629160-estilo-y-funcionabilidad-100514-_JM
BAJA,2061514805,Terraza Amplia/estac&bodega/metro Lo Vial,san-miguel,departamento,venta,2980.0,121717474,32,40,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2061514805-terraza-ampliaestacbodegametro-lo-vial-_JM
BAJA,4170362474,Con Hermosas Vistas,san-miguel,departamento,venta,3452.09,141000000.0,66,71,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4170362474-con-hermosas-vistas-_JM
BAJA,3882888034,Departamento En San Miguel,san-miguel,departamento,venta,2686.0,109709106,45,,2,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3882888034-departamento-en-san-miguel-_JM
BAJA,4164888652,Departamento En Venta De 4 Dorm. En San Miguel,san-miguel,departamento,venta,13500.0,551404665,130,430,4,4,superficies_incoherentes,https://portalinmobiliario.com/MLC-4164888652-departamento-en-venta-de-4-dorm-en-san-miguel-_JM
BAJA,1948013525,Metro El Llano,san-miguel,departamento,venta,2525.0,103133095,43,45,2,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1948013525-metro-el-llano-_JM
BAJA,3777316954,Departamento Curiñanca Id: 138607,san-miguel,departamento,venta,1800.0,73520622,19,21,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3777316954-departamento-curinanca-id-138607-_JM
BAJA,4201706158,Salesianos / San Ignacio,san-miguel,departamento,venta,4300.0,175632597,65,68,3,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4201706158-salesianos-san-ignacio-_JM
BAJA,4179288484,A9428639- Venta Departamento San Francisco C/ Marín - 2d2b,san-miguel,departamento,venta,2650.0,108238694,3,50,2,2,superficies_incoherentes | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4179288484-a9428639-venta-departamento-san-francisco-c-marin-2d2b-_JM
BAJA,2062074427,Oportunidad Depto 3d San Miguel,san-miguel,departamento,venta,3305.2,135000000.0,6,66,3,2,superficies_incoherentes | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-2062074427-oportunidad-depto-3d-san-miguel-_JM
BAJA,2070820877,Lindo Departamento 1d1b1e (136561),san-miguel,departamento,venta,2300.0,93943017,31,66,1,1,titulo_corto_tipo_nombre | superficies_incoherentes,https://portalinmobiliario.com/MLC-2070820877-lindo-departamento-1d1b1e-136561-_JM
BAJA,2045859487,Vista Despejada / Jose Miguel Carrera - Salesiano,san-miguel,departamento,venta,2500.0,102111975,42,45,1,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-2045859487-vista-despejada-jose-miguel-carrera-salesiano-_JM
BAJA,4191769054,Confort Y Estilo En Pleno Centro Urbano (141273),san-miguel,departamento,venta,3100.0,126618849,51,55,2,1,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4191769054-confort-y-estilo-en-pleno-centro-urbano-141273-_JM
BAJA,4151711358,Quinta Avenida (133846),san-miguel,departamento,venta,1950.0,79647340,32,32,1,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4151711358-quinta-avenida-133846-_JM
BAJA,4187139428,"San Miguel: Amplio Depto Vista Despejada, Piscina Y Quincho",san-miguel,departamento,venta,3990.0,162970712,75,74,3,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4187139428-san-miguel-amplio-depto-vista-despejada-piscina-y-quincho-_JM
BAJA,1915300165,Quinta Avenida,san-miguel,departamento,venta,3133.81,128000000.0,54,60,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1915300165-quinta-avenida-_JM
BAJA,4146251298,Departamento San Miguel Puerta Metro Lo Vial 2 D 2b,san-miguel,departamento,venta,3490.0,142548317,48,100,2,2,superficies_incoherentes,https://portalinmobiliario.com/MLC-4146251298-departamento-san-miguel-puerta-metro-lo-vial-2-d-2b-_JM
BAJA,4198493632,Departamento En Venta En San Miguel,san-miguel,departamento,venta,2366.0,96638773,19,19,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4198493632-departamento-en-venta-en-san-miguel-_JM
BAJA,3735641810,Lo Vial / Salesianos,san-miguel,departamento,venta,3400.0,138872286,50,54,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3735641810-lo-vial-salesianos-_JM
BAJA,1613464533,"Bien Ubicado, A Pasos Gran Avenida, Vista Oriente",san-miguel,departamento,venta,3550.0,144999004,58,61,2,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-1613464533-bien-ubicado-a-pasos-gran-avenida-vista-oriente-_JM
BAJA,2039820267,Gran Avenida  (105069),san-miguel,departamento,venta,3060.37,125000000.0,50,55,2,2,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2039820267-gran-avenida-105069-_JM
BAJA,4170193318,Metro Departramental,san-miguel,departamento,venta,1890.0,77196653,33,33,1,0,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-4170193318-metro-departramental-_JM
BAJA,3940396638,Excelente Departamento Santiago,san-miguel,departamento,venta,2750.0,112323172,42,42,0,1,titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3940396638-excelente-departamento-santiago-_JM
BAJA,4216694650,Vista Panorámica Ultimo Piso,san-miguel,departamento,venta,2600.0,106196454,62,62,2,2,nombre_de_proyecto,https://portalinmobiliario.com/MLC-4216694650-vista-panoramica-ultimo-piso-_JM
BAJA,3738960302,Departamento San Ignacio De Loyola Id: 125820,san-miguel,departamento,venta,1700.0,69436143,20,20,1,1,m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3738960302-departamento-san-ignacio-de-loyola-id-125820-_JM
