id_eliminado,id_conservado,confianza,titulo_eliminado,precio_uf_eliminado,precio_clp_eliminado,m2_util,direccion,url
4213386744,4152880806,ALTA,Depto Ñuñoa 2d 2b Piscina Quincho Cine Gimnasio,5300.0,216477387,68,"Avenida Irarrazaval, 5100 - 5400, Plaza Egaña, Ñuñoa",https://portalinmobiliario.com/MLC-4213386744-depto-nunoa-2d-2b-piscina-quincho-cine-gimnasio-_JM
4228883828,4152880806,ALTA,Oportunidad Bajo De Precio... 2d Y 2 B + E Y B,5300.0,216477387,68,"Av. Irarrázaval 5225, Ñuñoa, Plaza Egaña, Ñuñoa",https://portalinmobiliario.com/MLC-4228883828-oportunidad-bajo-de-precio-2d-y-2-b-e-y-b-_JM
4211501132,2076419265,ALTA,4 Dormitorios // 2 Estacionamientos // Eliecer Parada,8500.0,347180715,110,"Eliecer Parada 1115, Parque Botánico, Ñuñoa",https://portalinmobiliario.com/MLC-4211501132-4-dormitorios-2-estacionamientos-eliecer-parada-_JM
4230685886,2076419265,ALTA,Familiar / Amplios Espacios / 2 Suites / Piscina,8500.0,347180715,110,"Eliecer Parada, Parque Botánico, Ñuñoa",https://portalinmobiliario.com/MLC-4230685886-familiar-amplios-espacios-2-suites-piscina-_JM
4146269224,4201711856,ALTA,Depto Venta 4 Dorm 2est Opc Amoblado Inmb Almagro,9075.0,370666469,113,"Francisco De Villagra, 100-400, Diagonal Oriente, Ñuñoa",https://portalinmobiliario.com/MLC-4146269224-depto-venta-4-dorm-2est-opc-amoblado-inmb-almagro-_JM
4206498646,4201711856,ALTA,Depto Venta 4 Dorm 2est Opc Amoblado Inmb Almagro,9075.0,370666469,113,"Francisco De Villagra, 100-400, Diagonal Oriente, Ñuñoa",https://portalinmobiliario.com/MLC-4206498646-depto-venta-4-dorm-2est-opc-amoblado-inmb-almagro-_JM
2045858705,1487403349,ALTA,Edificio Exequiel Fernandez Vista Poniente Piso 5,10.48,428000.0,33,"Exequiel Fernández 2000, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2045858705-edificio-exequiel-fernandez-vista-poniente-piso-5-_JM
2066639537,1487403349,ALTA,"Arriendo De Departamento En Ñuñoa. 1 Dormitorio, 1 Baño.",10.53,430000.0,33,"Exequiel Fernández 1800 - 2100, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-2066639537-arriendo-de-departamento-en-nunoa-1-dormitorio-1-bano-_JM
4198328362,4160982168,ALTA,Departamento En Arriendo De 1 Dorm. En Ñuñoa,11.26,460000.0,34,"FRANCISCO DE PAULA 2020, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4198328362-departamento-en-arriendo-de-1-dorm-en-nunoa-_JM
4212322320,4160982168,ALTA,Piso 11. 1 Dormitorio. Nuevo! Disponibilidad Inmediata,11.26,460000.0,34,"Francisco De Paula 2024, Ñuñoa, Estadio Nacional, Ñuñoa",https://portalinmobiliario.com/MLC-4212322320-piso-11-1-dormitorio-nuevo-disponibilidad-inmediata-_JM
4206488706,2057138203,ALTA,"Arriendo Depto 1d1b, Estac, Amoblado - Ñuñoa",13.47,550000.0,33,"Condell 1777, Ñuñoa, Metro Irarrázaval, Ñuñoa",https://portalinmobiliario.com/MLC-4206488706-arriendo-depto-1d1b-estac-amoblado-nunoa-_JM
2074084249,2057138203,ALTA,Departamento Con Estacionamiento Amoblado En Ñuñoa,13.47,550000.0,35,"Condell 1777, Ñuñoa, Metro Irarrázaval, Ñuñoa",https://portalinmobiliario.com/MLC-2074084249-departamento-con-estacionamiento-amoblado-en-nunoa-_JM
